OBJECTID,Point of Origin Jurisdictional Unit Identifier,Point of Origin Protecting Unit Identifier,Reported Unit Identifier,Fire Incident Number,Fire Code,Incident Name,Fire Discovered Calendar Year,Fire Discovered Date,Fire Discovered Date Estimated Flag,Fire Control Date,Fire Control Date Estimated Flag,Incident General Cause Name,Collection Method,Total Reported Acres,GIS Acres,Complex Name,Irwin Identifier,Wildland Fire Perimeter Comments,Administrative Unit Code,Administrative State Code,GlobalID,Created Date,Created By Name,Modified Date,Modify By Name,created_user,created_date,last_edited_user,last_edited_date,Original_GlobalID,Unique Fire Identifier,Shape__Area,Shape__Length
181119,USCANOD,USCANOD,USCANOD,5180,LA5H,R-4 Parsnip,2017,8/30/2017 12:00:00 AM,NO,9/15/2017 12:00:00 AM,NO,Natural,Mixed Methods,18618.5,18601.90644247,,,,CAN05000,CA,e0457996-9052-45f6-91f5-77e1dbe3af2c,1/29/2018 10:19:17 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{FF50AD58-69D6-4A80-81BB-946AE7CBCD7E},2017-CANOD-005180,0.00802290263391114,0.762742362066238
181122,USCACDD,USCACDD,USCACDD,4917,KXP7,Highline,2017,3/26/2017 12:00:00 AM,NO,4/1/2017 12:00:00 AM,NO,Undetermined,Mixed Methods,74.5,66.99836904,,,,CAD07000,CA,12fabfbe-34f4-43b2-9b10-ecc9d5921731,1/29/2018 10:19:18 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{26567C12-41EF-45CF-8543-EE4DBF1965CE},2017-CACDD-004917,2.61992806827038E-05,0.0482586491757931
181125,USCANOD,USCANOD,USCANOD,5154,LA5A,Cherry,2017,8/29/2017 12:00:00 AM,NO,8/30/2017 12:00:00 AM,NO,Natural,GPS-Walked/Driven,24.9,24.91185056,,,,CAN05000,CA,957358a8-2ca8-4bfe-8964-3af698abb5ae,1/29/2018 10:19:18 AM,jnewman,5/25/2018 9:26:38 AM,swiberg,,,,,{2DB8CB67-457B-46DF-8C67-8728BF15D47D},2017-CANOD-005154,1.07306036625232E-05,0.0303133734325309
181126,USCANOD,USCANOD,USCANOD,5616,LC5G,Dry Valley,2017,9/13/2017 12:00:00 AM,NO,9/14/2017 12:00:00 AM,NO,Natural,Mixed Methods,51.3,51.2378259,,,,CAN05000,CA,1f9e1162-69d6-4982-b360-c5ab30ba06e5,1/29/2018 10:19:20 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{0C76191D-D507-4968-86C2-B5ED311E6058},2017-CANOD-005616,2.18626532841881E-05,0.0334301021955331
181127,USCANOD,USCANOD,USCANOD,4174,K7Y7,R-10 Painter,2017,7/24/2017 12:00:00 AM,NO,7/27/2017 12:00:00 AM,NO,Natural,Mixed Methods,83.9,83.83386646,,,,CAN05000,CA,9e19aca8-eed4-4115-886e-cb2a04e0012c,1/29/2018 10:19:18 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{D001CB39-839E-4289-A47D-2F250C847C05},2017-CANOD-004174,3.61734951184189E-05,0.0570491048435059
181129,USCANOD,USCANOD,USCANOD,4985,K95R,R-5 Stoney,2017,8/22/2017 12:00:00 AM,NO,8/27/2017 12:00:00 AM,NO,Natural,Mixed Methods,204,203.96739963,,,,CAN05000,CA,859e2c0a-c761-4ef8-abb2-d5db24adc69e,1/29/2018 10:19:18 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{150E362E-D289-4E79-99F6-F506C0481246},2017-CANOD-004985,8.77654711075593E-05,0.0990111701088551
181132,USCAPRI,USCACDD,USCACDD,9300,K2B9,Cahuila,2017,6/17/2017 12:00:00 AM,NO,6/17/2017 12:00:00 AM,NO,Human,Mixed Methods,49,44.2352354,,,,CAD08000,CA,153606f8-ddcb-4fd8-8f44-e2e2027469f4,1/29/2018 10:19:18 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{E405E17F-4799-41A7-A054-30559CD854C3},2017-CACDD-009300,1.75732582192722E-05,0.028148317350297
181133,USCANOD,USCANOD,USCANOD,4991,K96E,R-9 Fredonyer,2017,8/23/2017 12:00:00 AM,NO,8/25/2017 12:00:00 AM,NO,Natural,GPS-Walked/Driven,22,22.03384621,,,,CAN05000,CA,e113fd4f-2588-4d31-bf17-25236e841a91,1/29/2018 10:19:18 AM,jnewman,5/25/2018 9:26:34 AM,swiberg,,,,,{7785B1CA-2E01-4925-A223-828E8FD0F774},2017-CANOD-004991,9.50968978941091E-06,0.0131266871304065
181134,USCANOD,USCANOD,USCANOD,4159,K7WF,R-2 Schaffer,2017,7/24/2017 12:00:00 AM,NO,7/30/2017 12:00:00 AM,NO,Natural,GPS-Walked/Driven,25.9,26.49377663,,,,CAN05000,CA,bfcf3259-1b28-4445-a300-7c8972ee2d8c,1/29/2018 10:19:18 AM,jnewman,5/25/2018 9:26:24 AM,swiberg,,,,,{53464CA8-15D1-4966-A6AD-081F136EDB4D},2017-CANOD-004159,1.13822761704796E-05,0.02088696308257
181136,USCANOD,USCANOD,USCANOD,4204,K7ZN,R-18 Mission,2017,7/24/2017 12:00:00 AM,NO,7/27/2017 12:00:00 AM,NO,Natural,GPS-Walked/Driven,28,28.37870998,,,,CAN05000,CA,486c183f-87ca-4ffb-b9cd-03e1094b7285,1/29/2018 10:19:18 AM,jnewman,5/25/2018 9:26:29 AM,swiberg,,,,,{8F91DECE-8EAA-4CC3-925A-1078E162257E},2017-CANOD-004204,1.21584980661282E-05,0.023881656218672
181139,USCAPRI,USCANOD,USCANOD,5095,LAM2,Peg,2017,8/26/2017 12:00:00 AM,NO,8/27/2017 12:00:00 AM,NO,Undetermined,Mixed Methods,148.6,148.60023875,,,,CAN05000,CA,a9e6c8de-1535-4858-bd21-da2974244ea9,1/29/2018 10:19:18 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{CB745B98-CCD8-481F-A666-35D2F4FD76A4},2017-CANOD-005095,6.4183466747636E-05,0.0482012745225144
181140,USCAPRI,USCANOD,USCANOD,6142,LE7X,Cowhead,2017,10/9/2017 12:00:00 AM,NO,10/12/2017 12:00:00 AM,NO,Human,Mixed Methods,31,31.66665519,,,,CAN02000,CA,7f956a8c-017a-4708-b061-ea6fb677d83c,1/29/2018 10:19:19 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{907F9D02-DBD7-46E4-A780-2B47016FA504},2017-CANOD-006142,1.39145877255942E-05,0.0270334542182262
181145,USCACND,USCACND,USCACND,1183,K19U,Alpaugh,2017,6/15/2017 12:00:00 AM,NO,6/16/2017 12:00:00 AM,NO,Human,GPS-Walked/Driven,21,20.33017108,,,,CAC06000,CA,c9ca887b-25da-4dc7-8405-a37d1ecf6f94,1/29/2018 10:19:18 AM,jnewman,5/25/2018 9:26:18 AM,swiberg,,,,,{3FFEE623-ABC8-486A-A744-EE10146AA1D7},2017-CACND-001183,8.21091498437454E-06,0.0149665121915167
181149,USCAPRI,USCANOD,USCANOD,30366,K496,Long Valley,2017,7/11/2017 12:00:00 AM,NO,7/27/2017 12:00:00 AM,NO,Human,Mixed Methods,83599,83581.07961368,,,,CAN05000,CA,1de98aa1-d5be-4701-ae15-cba73ca8a977,1/29/2018 10:19:18 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{E08A3A8B-3AB6-40C6-97DD-450A04DF686B},2017-CANOD-030366,0.0356788574276834,2.02102649036347
181150,USCANOD,USCANOD,USCANOD,1810,KX2Z,West,2017,4/1/2017 12:00:00 AM,NO,4/3/2017 12:00:00 AM,NO,Human,Mixed Methods,401,401.28613323,,,,CAN02000,CA,43bf9688-bac9-4b56-813c-d835421399b4,1/29/2018 10:19:17 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{05ACB5A5-07D1-4819-9E00-E1890305CC1C},2017-CANOD-001810,0.000174606358996243,0.0617419303355671
181153,USCANOD,USCANOD,USCANOD,4673,K9AT,R-4 Ranch,2017,8/9/2017 12:00:00 AM,NO,8/12/2017 12:00:00 AM,NO,Natural,Mixed Methods,120,120.24996736,,,,CAN05000,CA,c40a47ba-9eff-4662-8751-d25cb0498f9f,1/29/2018 10:19:18 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{2CAB3983-1CDB-4171-B5BD-46E9E061FF2F},2017-CANOD-004673,5.16096938554256E-05,0.0422994825308432
181155,USCACND,USCACND,USCACND,1478,LA28,Slinkard,2017,8/29/2017 12:00:00 AM,NO,9/21/2017 12:00:00 AM,NO,Natural,Mixed Methods,8925,8923.45970443,,,,CAC07000,CA,86baab09-431e-40e6-998a-c8f3193adf01,1/29/2018 10:19:19 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{39179E72-5893-4504-9717-543F1F2134CC},2017-CACND-001478,0.00373749287427927,0.345824556136915
181156,USCANOD,USCANOD,USCANOD,5152,LA25,Mud,2017,8/29/2017 12:00:00 AM,NO,9/11/2017 12:00:00 AM,NO,Natural,Mixed Methods,6039.4,6036.04091407,,,,CAN05000,CA,4bbbcd0d-5937-41b3-a9d4-68c3b6bae788,1/29/2018 10:19:18 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{7C52AF0E-8755-4568-9AE2-0B14D1A35C0A},2017-CANOD-005152,0.00259258517326089,0.239104900776148
181157,USCAPRI,USCACND,USCACND,392,KY3S,Keck,2017,4/10/2017 12:00:00 AM,NO,4/10/2017 12:00:00 AM,NO,Undetermined,GPS-Walked/Driven,23.2,23.86303866,,,,CAC06000,CA,bee31f00-44e4-4255-9ae3-681a3ec47745,1/29/2018 10:19:19 AM,jnewman,5/25/2018 9:26:42 AM,swiberg,,,,,{72B063CD-3DF1-4ADB-93AC-68F9F9359877},2017-CACND-000392,9.61681098488043E-06,0.0160136731265459
181159,USCACND,USCACND,USCACND,107,JH7U,Van Dyke,2015,2/6/2015 12:00:00 AM,NO,2/13/2015 12:00:00 AM,NO,Human,Mixed Methods,509,512.43145349, , , ,CAC07000,CA,148bebd7-df79-4429-973c-18e1351b7b35,2/7/2018 11:51:30 AM,jnewman,5/25/2018 9:30:31 AM,swiberg,,,,,{5D3751B6-9A5F-4342-8B9E-81C1DD9BB264},2015-CACND-000107,0.00021335886185625,0.172264316016551
181160,USCAPRI,USCANOD,USCANOD,3539,G6A3,Ccd 2  Constantia,2012,8/15/2012 12:00:00 AM,NO,8/15/2012 12:00:00 AM,NO,Natural,Mixed Methods,60,154.73253658, , , ,CAN05000,CA,c9b11d44-a924-4916-9f1f-4314915bd79d,2/12/2018 11:56:03 AM,jnewman,5/25/2018 9:30:32 AM,swiberg,,,,,{B3D0E71F-0161-47E3-A1FD-D5FDDBE80C28},2012-CANOD-003539,6.60183809486625E-05,0.0344883388183583
181165,USCAPRI,USCARRU,USCACDD,9348,E1H7,Rabbit,2009,7/8/2009 12:00:00 AM,NO,7/9/2009 12:00:00 AM,NO,Unknown,Mixed Methods,85,59.53171391, , , ,CAD06000,CA,ff57fd44-5aa3-4bda-b101-caa6a97751b7,2/12/2018 11:57:48 AM,jnewman,5/25/2018 9:30:32 AM,swiberg,,,,,{2542A732-78F3-426D-9870-6B2E221B41EA},2009-CACDD-009348,2.34929941598239E-05,0.0344472606092651
